,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Porangatu,BR,87.39,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
391,Bubaque,GW,81.7,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
399,Shingū,JP,77.83,scattered clouds,33.7333,135.9833,Shingu UI Hotel
401,Les Cayes,HT,81.27,broken clouds,18.2,-73.75,Villa Orphee
405,Griffith,US,76.26,clear sky,41.5284,-87.4237,Apartment above Depot Bar
409,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
410,Tallahassee,US,78.64,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
411,Buala,SB,83.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
412,Ciudad Bolivar,VE,84.04,broken clouds,8.1222,-63.5497,Hotel Edi
416,George Town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
417,Kédougou,SN,84.78,clear sky,12.5579,-12.1743,Relais de Kédougou
420,Suba,PH,83.93,overcast clouds,10.8438,121.0102,Jarnchi Pension House
421,Half Moon Bay,US,82.58,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
427,Afuá,BR,79.68,overcast clouds,-0.1567,-50.3867,Hotel Dias
428,Brazzaville,CG,78.75,light rain,-4.2658,15.2832,Hotel Muesse
430,Kankakee,US,76.17,clear sky,41.15,-87.8667,Fairfield Inn Kankakee Bourbonnais
431,Verāval,IN,78.71,broken clouds,20.9,70.3667,Lords Inn Somnath
432,Jacareacanga,BR,76.95,broken clouds,-6.2222,-57.7528,Casa do Ian😎
437,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
439,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
441,Samarai,PG,81.43,light rain,-10.6167,150.6667,Nuli Sapi
448,Channelview,US,86.18,clear sky,29.7761,-95.1146,Fairfield Inn & Suites by Marriott Houston Channelview
450,Nova Olinda do Norte,BR,80.65,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
457,Alugan,PH,82.53,broken clouds,12.2188,125.4808,JM Lodge
461,Denison,US,86.18,clear sky,33.7557,-96.5367,Hampton Inn & Suites Denison
465,Salina Cruz,MX,86.65,clear sky,16.1667,-95.2,Amerik HOTEL
467,Manokwari,ID,81.61,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
473,Itoman,JP,80.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
474,Caravelas,BR,75.83,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
485,Cazones de Herrera,MX,80.4,overcast clouds,20.7167,-97.3167,Hotel paraíso
490,Cabo Rojo,PR,82.98,broken clouds,18.0866,-67.1457,Hotel Perichi's
494,Harper,LR,76.24,broken clouds,4.375,-7.7169,Screensaver
496,Afogados da Ingazeira,BR,79.95,scattered clouds,-7.7508,-37.6392,Hotel Brotas
500,Arcata,US,76.68,overcast clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
504,Prado,BR,75.58,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
505,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
507,Makkah al Mukarramah,SA,84.38,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
511,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
513,Honiara,SB,86.09,scattered clouds,-9.4333,159.95,Heritage Park Hotel
519,Winnemucca,US,80.65,clear sky,40.973,-117.7357,Winners Inn Casino
521,Sabancuy,MX,80.94,broken clouds,18.9667,-91.1833,Posada Sabancuy
523,Chuncheng,CN,76.53,clear sky,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
531,Katobu,ID,78.08,overcast clouds,-4.9408,122.5276,La Ode Husein
532,Vanimo,PG,81.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
533,Lhokseumawe,ID,75.09,heavy intensity rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
535,Tuy Hoa,VN,76.71,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
541,Green Valley,US,77.77,broken clouds,31.8543,-110.9937,Best Western Green Valley Inn
543,Point Fortin,TT,81.86,overcast clouds,10.1833,-61.6833,Jus Les' Suites
546,Yanam,IN,75.65,heavy intensity rain,16.7333,82.2167,The Regency Hotel
547,Pundaguitan,PH,81.34,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
550,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
568,Nsanje,MW,77.88,clear sky,-16.92,35.262,Nsanje Discovery Lodge
571,Lodhran,PK,79.48,clear sky,29.5405,71.6336,Gulshan e khalil
576,Māndvi,IN,80.56,clear sky,22.8333,69.3667,Jitendra Guest House
