,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Riachão,BR,-7.3619,-46.6172,84.76,36,49,6.29,scattered clouds
131,Marawi,PH,7.9986,124.2928,68.14,94,73,1.3,broken clouds
132,Saint Paul Harbor,US,57.79,-152.4072,53.11,94,100,23.02,moderate rain
133,Saldanha,ZA,-33.0117,17.9442,56.48,66,0,13.11,clear sky
134,Yerofey Pavlovich,RU,53.9667,121.9667,23.63,67,98,3.85,overcast clouds
135,Lagoa,PT,39.05,-27.9833,70.7,85,100,14.23,overcast clouds
136,Kibala,TD,9.1104,18.3463,71.8,95,81,0.98,light rain
137,Guéret,FR,46.1667,1.8667,49.87,83,6,3.74,clear sky
138,Nome,US,64.5011,-165.4064,46.47,81,75,12.66,broken clouds
139,East London,ZA,-33.0153,27.9116,62.28,79,30,10.94,scattered clouds
140,Kāsaragod,IN,12.5,75.0,75.06,97,98,4.99,overcast clouds
141,Melbu,NO,68.5044,14.8297,51.62,62,100,14.97,overcast clouds
142,Port Blair,IN,11.6667,92.75,77.27,89,100,3.02,overcast clouds
143,Bilma,NE,18.6853,12.9164,87.69,17,1,4.23,clear sky
144,San Quintín,MX,30.4833,-115.95,72.57,75,19,12.1,few clouds
145,Ribeira Grande,PT,38.5167,-28.7,71.85,79,74,7.58,broken clouds
146,Broken Hill,AU,-31.95,141.4333,66.6,75,28,18.7,scattered clouds
147,Miles City,US,46.4083,-105.8406,70.77,46,0,6.91,clear sky
148,Banda Aceh,ID,5.5577,95.3222,74.53,94,100,7.11,light rain
149,Ongandjera,NA,-17.8833,15.0667,74.21,13,0,5.66,clear sky
150,Atar,MR,20.5169,-13.0499,97.48,19,100,6.62,overcast clouds
151,Alihe,CN,50.5667,123.7167,23.34,53,49,3.62,scattered clouds
152,Vershino-Darasunskiy,RU,52.35,115.5167,17.22,69,16,3.62,few clouds
153,Pangai,TO,-19.8,-174.35,82.51,69,75,9.22,broken clouds
154,Shemonaīkha,KZ,50.6328,81.9056,32.77,72,2,5.19,clear sky
155,Ketchikan,US,55.3422,-131.6461,57.67,88,75,8.05,broken clouds
156,Wad Rāwah,SD,15.1603,33.1397,85.37,39,16,4.45,few clouds
157,Thompson,CA,55.7435,-97.8558,57.36,44,40,5.75,scattered clouds
158,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,40,6.91,scattered clouds
159,Naryan-Mar,RU,67.6713,53.087,40.6,80,100,12.93,overcast clouds
160,Rocha,UY,-34.4833,-54.3333,52.3,88,53,7.34,broken clouds
161,Pevek,RU,69.7008,170.3133,26.1,82,73,6.31,broken clouds
162,Batagay,RU,67.6333,134.6333,13.06,97,96,2.21,overcast clouds
163,Fortuna,US,40.5982,-124.1573,66.92,71,84,1.99,broken clouds
164,Iqaluit,CA,63.7506,-68.5145,35.33,93,100,0.0,light rain
165,Porto-Novo,BJ,6.4965,2.6036,76.68,89,89,5.21,overcast clouds
166,Sittwe,MM,20.15,92.9,77.2,89,88,7.0,overcast clouds
167,Along,IN,28.1667,94.7667,72.14,97,100,0.87,overcast clouds
168,Tarata,BO,-17.6167,-66.0167,76.42,48,65,12.75,broken clouds
169,Freeport,US,40.6576,-73.5832,58.01,89,100,19.57,mist
170,Tambacounda,SN,13.7539,-13.7586,86.05,79,0,4.61,clear sky
171,Lorengau,PG,-2.0226,147.2712,83.3,77,81,11.21,broken clouds
172,Nizwá,OM,22.9333,57.5333,75.54,60,0,1.39,clear sky
173,Severo-Kuril'sk,RU,50.6789,156.125,50.7,97,100,8.32,moderate rain
174,Hobyo,SO,5.3505,48.5268,76.59,89,37,14.97,scattered clouds
175,Noshiro,JP,40.2039,140.0242,54.46,67,87,12.82,overcast clouds
176,Provideniya,RU,64.3833,-173.3,41.36,81,75,4.47,broken clouds
177,Pitimbu,BR,-7.4706,-34.8086,77.59,75,36,10.16,scattered clouds
178,Hamilton,US,39.1834,-84.5333,72.43,32,0,9.22,clear sky
179,Bata,GQ,1.8639,9.7658,76.37,86,84,2.3,broken clouds
180,Hailar,CN,49.2,119.7,25.32,41,84,7.11,broken clouds
181,Kologriv,RU,58.8275,44.3178,45.43,89,97,8.23,overcast clouds
182,Ibrā’,OM,22.6906,58.5334,73.27,72,1,2.86,clear sky
183,Hithadhoo,MV,-0.6,73.0833,82.33,71,99,18.59,overcast clouds
184,Codrington,AU,-38.2667,141.9667,51.4,93,100,18.95,moderate rain
185,Hervey Bay,AU,-25.2986,152.8535,66.02,81,39,5.99,scattered clouds
186,Hünfeld,DE,50.6797,9.7673,52.77,82,87,4.5,overcast clouds
187,Ponta Delgada,PT,37.7333,-25.6667,74.5,94,75,10.36,broken clouds
188,Itarema,BR,-2.9248,-39.9167,78.15,78,87,15.95,overcast clouds
189,Husavik,IS,66.0449,-17.3389,41.83,96,100,16.8,overcast clouds
190,Fairbanks,US,64.8378,-147.7164,54.23,57,0,9.22,clear sky
191,Jinchang,CN,38.4953,102.1739,45.07,63,100,7.43,overcast clouds
192,Upernavik,GL,72.7868,-56.1549,21.49,81,72,6.22,broken clouds
193,Morón,AR,-34.6534,-58.6198,64.94,80,0,10.45,clear sky
194,Nadym,RU,65.5333,72.5167,33.55,94,37,11.59,scattered clouds
195,Thinadhoo,MV,0.5333,72.9333,80.92,78,100,17.81,overcast clouds
196,Envira,BR,-7.3,-70.2167,80.91,67,72,5.77,broken clouds
197,Kruisfontein,ZA,-34.0033,24.7314,51.89,87,76,1.43,broken clouds
198,Ban Tak,TH,17.0432,99.0813,77.22,94,93,2.64,overcast clouds
199,Yar-Sale,RU,66.8333,70.8333,37.63,80,87,14.88,overcast clouds
200,Andradas,BR,-22.0681,-46.5692,64.78,91,72,2.24,broken clouds
201,Beloha,MG,-25.1667,45.05,66.16,96,1,1.61,clear sky
202,Lincoln,US,40.8,-96.667,78.28,35,100,10.36,overcast clouds
203,Namatanai,PG,-3.6667,152.4333,82.65,74,100,11.16,light rain
204,Launceston,AU,-41.45,147.1667,50.34,75,52,5.75,broken clouds
205,Agadez,NE,19.75,10.25,85.75,17,0,10.51,clear sky
206,Vaini,TO,-21.2,-175.2,82.56,78,75,5.75,broken clouds
207,Cabo San Lucas,MX,22.8909,-109.9124,90.61,70,20,6.91,few clouds
208,Shishou,CN,29.7226,112.419,50.65,81,100,12.44,overcast clouds
209,Manta,EC,-0.95,-80.7333,82.18,57,40,13.8,scattered clouds
210,Atambua,ID,-9.1061,124.8925,75.25,82,98,2.33,overcast clouds
