City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Majene,ID,2022-09-28 21:55:00,-3.5403,118.9707,77.23,85,91,3.42
104,Mobaye,CF,2022-09-28 21:55:03,4.319,21.1786,68.22,99,74,3.65
105,Sola,VU,2022-09-28 21:55:05,-13.8833,167.55,79.65,75,98,20.07
106,Tasiilaq,GL,2022-09-28 21:55:08,65.6145,-37.6368,33.91,99,100,6.35
107,Hualmay,PE,2022-09-28 21:55:10,-11.0964,-77.6139,63.48,75,14,9.84
108,Calabar,NG,2022-09-28 21:55:13,4.9517,8.322,71.82,96,97,0.89
109,Hovd,MN,2022-09-28 21:55:16,48.0056,91.6419,42.58,52,8,8.68
110,Knysna,ZA,2022-09-28 21:55:20,-34.0363,23.0471,57.38,89,86,2.98
111,Roebourne,AU,2022-09-28 21:55:23,-20.7833,117.1333,68.68,62,42,7.58
112,Port Lincoln,AU,2022-09-28 21:55:26,-34.7333,135.8667,54.03,66,95,10.0
113,Necochea,AR,2022-09-28 21:55:30,-38.5473,-58.7368,48.25,58,0,8.99
114,San Patricio,US,2022-09-28 21:55:35,28.017,-97.5169,89.17,33,1,14.81
115,Valdemarpils,LV,2022-09-28 21:55:37,57.3707,22.5919,49.8,67,85,9.24
116,Gazimurskiy Zavod,RU,2022-09-28 21:55:41,51.5461,118.3266,38.62,74,100,1.21
117,Cidreira,BR,2022-09-28 21:55:44,-30.1811,-50.2056,60.85,70,100,11.7
118,Harper,LR,2022-09-28 21:55:47,4.375,-7.7169,76.28,89,90,11.07
119,Hambantota,LK,2022-09-28 21:55:50,6.1241,81.1185,75.54,94,20,2.3
120,Jamestown,US,2022-09-28 21:50:53,42.097,-79.2353,56.79,77,100,9.22
121,Ayaviri,PE,2022-09-28 21:55:55,-14.8864,-70.5889,61.38,7,1,8.86
122,Mafeteng,LS,2022-09-28 21:55:59,-29.823,27.2374,60.6,59,68,6.29
123,Boguchany,RU,2022-09-28 21:56:02,58.3814,97.4531,32.5,91,100,4.43
124,Kailua,US,2022-09-28 21:56:04,21.4022,-157.7394,87.03,54,20,10.36
125,Victoria,HK,2022-09-28 21:54:20,22.2855,114.1577,84.38,81,70,15.01
126,Tessalit,ML,2022-09-28 21:56:09,20.1986,1.0114,95.9,12,73,5.28
127,Silvan,TR,2022-09-28 21:56:11,38.1419,41.0081,57.49,20,17,0.78
128,Korla,CN,2022-09-28 21:56:13,41.7597,86.1469,65.37,35,70,16.96
129,Saskylakh,RU,2022-09-28 21:56:19,71.9167,114.0833,25.72,95,100,11.95
130,Bathsheba,BB,2022-09-28 21:56:22,13.2167,-59.5167,84.81,96,40,6.91
131,Carnarvon,AU,2022-09-28 21:56:24,-24.8667,113.6333,66.88,58,0,15.64
132,Ilulissat,GL,2022-09-28 21:56:27,69.2167,-51.1,35.22,99,100,5.46
133,Andenes,NO,2022-09-28 21:56:30,69.3143,16.1194,45.93,87,17,6.91
134,Batemans Bay,AU,2022-09-28 21:56:33,-35.7167,150.1833,58.1,90,97,11.34
135,Huarmey,PE,2022-09-28 21:56:35,-10.0681,-78.1522,64.8,74,4,9.78
136,Bambui,BR,2022-09-28 21:56:40,-20.0064,-45.9769,69.71,82,98,10.89
137,Clyde River,CA,2022-09-28 21:56:43,70.4692,-68.5914,32.23,69,20,8.05
138,Tripoli,LY,2022-09-28 21:55:20,32.8752,13.1875,76.51,65,0,7.0
139,Weligama,LK,2022-09-28 21:56:48,5.9667,80.4167,78.44,85,76,12.21
140,Sur,OM,2022-09-28 21:57:52,22.5667,59.5289,79.95,75,1,11.34
141,Mackenzie,CA,2022-09-28 21:57:56,55.2999,-123.1698,64.62,55,0,5.75
142,Neuquen,AR,2022-09-28 21:54:04,-38.9516,-68.0591,75.09,23,0,11.5
143,Adrar,MR,2022-09-28 21:58:04,20.5022,-10.0711,94.82,22,78,11.92
144,Coruripe,BR,2022-09-28 21:58:06,-10.1256,-36.1756,73.67,84,6,7.92
145,Yumen,CN,2022-09-28 21:58:11,40.2833,97.2,62.24,22,0,8.61
146,Alofi,NU,2022-09-28 21:58:13,-19.0595,-169.9187,78.69,83,40,9.22
147,Bethel,US,2022-09-28 21:58:15,41.3712,-73.414,67.66,69,80,1.01
148,Vaini,TO,2022-09-28 21:58:18,-21.2,-175.2,75.36,78,40,11.5
149,Yar-Sale,RU,2022-09-28 21:58:20,66.8333,70.8333,26.42,91,42,8.86
150,Luderitz,NA,2022-09-28 21:58:29,-26.6481,15.1594,58.17,76,7,10.94
151,Nikolskoye,RU,2022-09-28 21:58:32,59.7035,30.7861,44.49,94,100,6.4
152,Port Moresby,PG,2022-09-28 21:58:35,-9.4431,147.1797,76.42,94,20,5.75
153,Salihli,TR,2022-09-28 21:58:38,38.4826,28.1477,68.81,70,12,3.65
154,Kirakira,SB,2022-09-28 21:58:40,-10.4544,161.9205,83.57,67,9,7.65
155,Narsaq,GL,2022-09-28 21:58:45,60.9167,-46.05,43.52,93,100,4.05
156,Takaka,NZ,2022-09-28 21:58:48,-40.85,172.8,58.55,98,100,11.45
157,Katsuura,JP,2022-09-28 21:58:51,35.1333,140.3,72.27,66,100,4.5
158,Ocean City,US,2022-09-28 21:56:57,39.2776,-74.5746,68.29,56,64,5.99
159,Atar,MR,2022-09-28 21:58:56,20.5169,-13.0499,97.54,21,49,6.22
160,Tallahassee,US,2022-09-28 21:58:58,30.4383,-84.2807,79.0,42,100,4.0
161,Chuy,UY,2022-09-28 21:59:04,-33.6971,-53.4616,51.76,74,0,7.87
162,Vung Tau,VN,2022-09-28 21:54:53,10.346,107.0843,79.95,81,100,16.69
163,Mar Del Plata,AR,2022-09-28 21:59:10,-38.0023,-57.5575,53.94,55,0,10.36
