City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Constantine,DZ,2022-09-27 00:10:56,36.365,6.6147,65.61,82,75,5.75
188,Morant Bay,JM,2022-09-27 00:13:38,17.8815,-76.4093,76.71,85,100,8.61
189,Laguna,US,2022-09-27 00:13:40,38.421,-121.4238,97.09,34,0,6.91
190,Prachuap Khiri Khan,TH,2022-09-27 00:13:22,12.2167,99.75,73.83,88,92,3.29
191,Mlonggo,ID,2022-09-27 00:13:45,-6.5333,110.7,80.35,65,52,13.47
192,Bara,NG,2022-09-27 00:10:41,10.3744,10.7288,73.35,90,45,6.11
193,Jalu,LY,2022-09-27 00:13:53,29.0331,21.5482,78.8,40,0,6.46
194,Ilulissat,GL,2022-09-27 00:13:56,69.2167,-51.1,39.22,87,100,3.44
195,Luyang,CN,2022-09-27 00:13:59,27.6239,110.0989,72.05,64,3,2.46
196,Gwanda,ZW,2022-09-27 00:14:01,-20.9333,29.0,70.65,31,1,6.29
197,Leningradskiy,RU,2022-09-27 00:14:04,69.3833,178.4167,31.71,84,100,7.72
198,Ravar,IR,2022-09-27 00:14:07,31.2656,56.8055,71.13,19,0,4.07
199,Mountain Home,US,2022-09-27 00:14:11,43.133,-115.6912,87.28,8,0,3.44
200,Port Hedland,AU,2022-09-27 00:14:14,-20.3167,118.5667,77.05,14,9,20.71
201,Acajutla,SV,2022-09-27 00:14:16,13.5928,-89.8275,80.11,81,49,3.47
202,Amarante Do Maranhao,BR,2022-09-27 00:14:20,-5.5667,-46.7422,80.67,48,55,1.45
203,Lasa,IT,2022-09-27 00:14:23,46.6166,10.7002,54.48,94,99,4.05
204,Westport,US,2022-09-27 00:14:25,41.1415,-73.3579,71.42,82,0,19.57
205,Saskylakh,RU,2022-09-27 00:14:30,71.9167,114.0833,28.69,87,92,12.19
206,Kruisfontein,ZA,2022-09-27 00:10:50,-34.0033,24.7314,59.88,91,100,19.57
207,Faanui,PF,2022-09-27 00:14:38,-16.4833,-151.75,78.1,73,5,14.36
208,Dingzhou,CN,2022-09-27 00:14:41,38.5131,114.9956,68.86,34,63,1.57
209,Saint George,US,2022-09-27 00:13:58,37.1041,-113.5841,95.59,14,0,5.75
210,Sabang,ID,2022-09-27 00:14:46,5.8933,95.3214,81.54,73,100,22.68
211,Meulaboh,ID,2022-09-27 00:14:49,4.1363,96.1285,74.75,89,96,4.54
212,Eldama Ravine,KE,2022-09-27 00:14:52,0.0516,35.7308,52.09,83,4,4.41
213,Vanavara,RU,2022-09-27 00:14:54,60.34,102.2797,30.04,94,52,2.01
214,Rahimatpur,IN,2022-09-27 00:14:57,17.6,74.2,68.18,94,68,2.91
215,Iacu,BR,2022-09-27 00:15:00,-12.7672,-40.2117,71.82,66,6,8.05
216,Carnarvon,AU,2022-09-27 00:15:02,-24.8667,113.6333,68.22,30,0,18.75
217,Sawakin,SD,2022-09-27 00:15:05,19.1059,37.3321,86.86,52,0,6.6
218,Thompson,CA,2022-09-27 00:15:08,55.7435,-97.8558,44.76,53,20,3.44
219,Nuevo Progreso,MX,2022-09-27 00:15:11,23.1667,-97.95,76.89,73,78,4.0
220,Krasnoselkup,RU,2022-09-27 00:12:16,65.7,82.4667,25.34,81,26,10.67
221,Conceicao Do Araguaia,BR,2022-09-27 00:16:21,-8.2578,-49.2647,83.77,51,69,4.52
222,Cap Malheureux,MU,2022-09-27 00:16:23,-19.9842,57.6142,68.47,66,85,4.0
223,Cupar,GB,2022-09-27 00:16:26,56.3188,-3.012,44.35,76,0,12.66
224,Kunnamkulam,IN,2022-09-27 00:16:29,10.65,76.0833,75.96,91,69,6.29
225,La Ronge,CA,2022-09-27 00:16:32,55.1001,-105.2842,62.85,34,20,5.75
226,Tura,IN,2022-09-27 00:16:37,25.5198,90.2201,73.11,88,98,2.19
227,Bubaque,GW,2022-09-27 00:15:45,11.2833,-15.8333,80.64,77,67,13.89
228,Kodiak,US,2022-09-27 00:16:41,57.79,-152.4072,49.51,66,75,4.61
229,Mount Isa,AU,2022-09-27 00:16:44,-20.7333,139.5,83.97,21,3,14.97
230,Phan Thiet,VN,2022-09-27 00:16:47,10.9333,108.1,76.5,84,100,11.68
231,Orlik,RU,2022-09-27 00:16:49,52.5178,99.825,40.82,97,100,4.99
232,Provideniya,RU,2022-09-27 00:13:26,64.3833,-173.3,42.91,93,100,8.99
233,Vardo,NO,2022-09-27 00:14:02,70.3705,31.1107,42.78,93,78,4.61
234,Guerrero Negro,MX,2022-09-27 00:16:56,27.9769,-114.0611,79.43,68,0,12.93
235,Chapais,CA,2022-09-27 00:13:19,49.7834,-74.8492,53.38,70,96,3.98
236,Yarada,IN,2022-09-27 00:17:00,17.65,83.2667,77.32,100,20,2.3
237,Qui Nhon,VN,2022-09-27 00:13:31,13.7667,109.2333,75.22,90,100,6.26
238,Ati,TD,2022-09-27 00:17:06,13.2154,18.3353,81.27,62,59,17.11
239,Los Llanos De Aridane,ES,2022-09-27 00:17:08,28.6585,-17.9182,67.12,81,100,20.0
240,Butzow,DE,2022-09-27 00:17:12,53.85,11.9833,52.2,76,100,10.65
241,Filotion,GR,2022-09-27 00:17:19,37.05,25.5,66.43,73,61,17.22
242,Wewak,PG,2022-09-27 00:17:21,-3.5534,143.6268,84.67,69,66,6.71
243,Kattivakkam,IN,2022-09-27 00:17:09,13.2167,80.3167,82.49,68,62,6.13
244,Riyadh,SA,2022-09-27 00:13:27,24.6877,46.7219,77.14,25,0,5.75
245,Am Timan,TD,2022-09-27 00:17:28,11.0297,20.2827,71.92,88,100,2.84
246,Aden,YE,2022-09-27 00:17:31,12.7794,45.0367,88.09,70,88,9.13
247,Champerico,GT,2022-09-27 00:17:34,14.3,-91.9167,77.54,76,46,6.02
248,Bethel,US,2022-09-27 00:16:20,41.3712,-73.414,68.31,83,0,3.44
249,Auki,SB,2022-09-27 00:17:38,-8.7676,160.7034,84.2,68,42,3.33
250,Bistret,RO,2022-09-27 00:17:41,43.9,23.5,61.27,94,100,5.01
251,Sola,VU,2022-09-27 00:17:46,-13.8833,167.55,84.87,79,100,0.0
252,Longyearbyen,SJ,2022-09-27 00:17:50,78.2186,15.6401,39.04,87,20,0.0
253,Onalaska,US,2022-09-27 00:12:59,43.8844,-91.2351,56.32,67,0,5.75
254,Srednekolymsk,RU,2022-09-27 00:17:55,67.45,153.6833,36.01,55,70,10.71
255,Boende,CD,2022-09-27 00:17:58,-0.2167,20.8667,70.43,99,38,2.19
256,Itarema,BR,2022-09-27 00:18:00,-2.9248,-39.9167,78.53,82,79,15.39
257,Sorkjosen,NO,2022-09-27 00:18:02,69.8,20.9333,46.4,71,86,17.27
258,Ardakan,IR,2022-09-27 00:18:05,32.31,54.0175,73.85,16,0,2.24
259,Armizonskoye,RU,2022-09-27 00:18:07,55.9461,67.6736,30.36,97,100,18.32
260,College,US,2022-09-27 00:18:10,64.8569,-147.8028,47.59,71,100,4.61
261,Yamada,JP,2022-09-27 00:18:13,39.4667,141.95,70.23,68,61,4.45
262,Tornio,FI,2022-09-27 00:18:16,65.8481,24.1466,44.62,91,100,9.66
263,Palmerston,AU,2022-09-27 00:16:14,-12.486,130.9833,86.94,68,75,8.05
264,Sfantu Gheorghe,RO,2022-09-27 00:18:11,45.8667,25.7833,57.27,98,100,1.39
265,Luba,GQ,2022-09-27 00:19:25,3.4568,8.5547,76.57,87,100,6.2
266,Portland,US,2022-09-27 00:16:10,45.5234,-122.6762,91.78,35,20,5.01
267,Pechora,RU,2022-09-27 00:19:33,65.1472,57.2244,30.24,70,87,3.09
268,Lahan,NP,2022-09-27 00:19:35,26.7296,86.4951,75.72,83,56,2.46
269,Tiksi,RU,2022-09-27 00:19:38,71.6872,128.8694,32.74,89,100,22.75
270,Sitka,US,2022-09-27 00:18:15,57.0531,-135.33,55.29,94,100,10.36
271,Hithadhoo,MV,2022-09-27 00:19:43,-0.6,73.0833,82.11,73,60,15.41
272,Mehamn,NO,2022-09-27 00:16:41,71.0357,27.8492,44.51,93,91,9.22
273,Zhangye,CN,2022-09-27 00:19:49,38.9342,100.4517,64.87,22,100,2.13
274,Nizhnevartovsk,RU,2022-09-27 00:19:51,60.9344,76.5531,30.22,80,100,7.0
275,Chiang Khong,TH,2022-09-27 00:19:53,20.2613,100.4046,70.7,98,50,1.14
276,Maragogi,BR,2022-09-27 00:19:44,-9.0122,-35.2225,74.14,78,52,9.33
277,Kuryk,KZ,2022-09-27 00:19:59,43.2,51.65,63.54,46,1,10.58
278,Olafsvik,IS,2022-09-27 00:20:05,64.8945,-23.7142,44.13,47,94,11.79
279,Marsh Harbour,BS,2022-09-27 00:20:08,26.5412,-77.0636,78.6,84,100,6.62
280,Plettenberg Bay,ZA,2022-09-27 00:20:10,-34.0527,23.3716,61.57,91,85,16.96
281,San Juan,AR,2022-09-27 00:15:43,-31.5375,-68.5364,68.25,23,44,9.42
282,Caborca,MX,2022-09-27 00:20:16,30.5838,-111.101,93.79,27,34,7.43
283,Kargasok,RU,2022-09-27 00:20:19,59.0556,80.8572,25.48,92,72,5.21
284,Poum,NC,2022-09-27 00:20:22,-20.2333,164.0167,77.14,69,3,6.78
285,Kamenka,RU,2022-09-27 00:20:24,51.3223,42.7678,50.4,64,100,6.35
286,Aklavik,CA,2022-09-27 00:18:05,68.2191,-135.0107,36.25,80,100,9.06
287,Satinka,RU,2022-09-27 00:20:33,52.3792,41.6819,47.21,92,92,4.23
288,Brownsville,US,2022-09-27 00:20:36,25.9018,-97.4975,82.35,91,0,0.0
289,Yueyang,CN,2022-09-27 00:20:39,29.3333,113.0919,72.84,49,38,7.67
290,San Quintin,MX,2022-09-27 00:20:41,30.4833,-115.95,76.05,72,1,15.52
291,Novyye Burasy,RU,2022-09-27 00:20:44,52.1324,46.0714,42.48,81,72,4.61
292,Tazovskiy,RU,2022-09-27 00:20:47,67.4667,78.7,27.57,83,99,15.59
293,Umm Kaddadah,SD,2022-09-27 00:15:51,13.6017,26.6876,82.54,47,51,10.02
294,Vostok,RU,2022-09-27 00:20:52,46.4856,135.8833,51.46,53,19,4.38
295,Lebu,CL,2022-09-27 00:16:06,-37.6167,-73.65,51.89,93,99,3.83
